clean_feature,feature,importance
first country Hong Kong,cat__first_country_Hong Kong,0.00027830968556289104
first country Turkey,cat__first_country_Turkey,0.00025927030308428616
favorite cart category Home/Apparel/,cat__favorite_cart_category_Home/Apparel/,0.0002585332127963562
favorite cart category Home/Sale/,cat__favorite_cart_category_Home/Sale/,0.00024970183839614863
first country Philippines,cat__first_country_Philippines,0.0002260858409293144
first country Peru,cat__first_country_Peru,0.00022531014952479854
favorite view category missing flag,num__favorite_view_category_missing_flag,0.0002161839763954322
first country Netherlands,cat__first_country_Netherlands,0.00019104332799048021
favorite cart category Home/Shop by Brand/YouTube/,cat__favorite_cart_category_Home/Shop by Brand/YouTube/,0.0001813771993810964
first country Sweden,cat__first_country_Sweden,0.00017193496295722245
first country Singapore,cat__first_country_Singapore,0.00014541901162380778
favorite view category Home/Stationery/Notebooks/,cat__favorite_view_category_Home/Stationery/Notebooks/,0.00013482590915698465
first country infrequent sklearn,cat__first_country_infrequent_sklearn,0.00012208371924392423
first country Russia,cat__first_country_Russia,0.00012070692653457155
first country Colombia,cat__first_country_Colombia,0.00012031637347378653
favorite cart category infrequent sklearn,cat__favorite_cart_category_infrequent_sklearn,0.000108270830468128
first country Lithuania,cat__first_country_Lithuania,8.90068286794301e-05
first country Indonesia,cat__first_country_Indonesia,7.826369770533684e-05
favorite cart category Home/New/,cat__favorite_cart_category_Home/New/,6.339922390556334e-05
first country Japan,cat__first_country_Japan,6.236059224355778e-05
favorite cart category Lifestyle/Bags/,cat__favorite_cart_category_Lifestyle/Bags/,5.672368174783284e-05
favorite cart category Home/Apparel/Women's/,cat__favorite_cart_category_Home/Apparel/Women's/,4.941206144724955e-05
favorite cart category Lifestyle/Drinkware/,cat__favorite_cart_category_Lifestyle/Drinkware/,4.619024626366819e-05
favorite cart category Home/Shop by Brand/Google/,cat__favorite_cart_category_Home/Shop by Brand/Google/,4.378432075892421e-05
first country (not set),cat__first_country_(not set),4.2084126925127776e-05
favorite cart category missing flag,num__favorite_cart_category_missing_flag,4.082294761923426e-05
first country Australia,cat__first_country_Australia,3.6758923847288386e-05
