model,roc_auc,pr_auc,baseline_pr_auc,pr_auc_lift
Logistic Regression,0.8469381847130877,0.031565560064309654,0.0025416438570423088,12.419348201302386
Random Forest,0.846821785372885,0.039994294364419085,0.0025416438570423088,15.735601293471595
