score_decile,users,buyers,purchase_rate,avg_score,baseline_purchase_rate,lift_vs_baseline
10,2558,45,0.017591868647380767,0.4877641912420075,0.0025416438570423088,6.921453058278703
9,2557,3,0.0011732499022291747,0.2621821838456484,0.0025416438570423088,0.4616106615324448
8,2557,4,0.001564333202972233,0.17222519804891934,0.0025416438570423088,0.6154808820432598
7,2558,2,0.0007818608287724785,0.12448072370165042,0.0025416438570423088,0.3076201359234979
6,2556,2,0.000782472613458529,0.09941354852653114,0.0025416438570423088,0.30786084025520644
5,2558,6,0.0023455824863174357,0.0824065041282245,0.0025416438570423088,0.9228604077704938
4,2551,2,0.0007840062720501764,0.06897250878374325,0.0025416438570423088,0.3084642523294032
3,2563,0,0.0,0.0563888781486616,0.0025416438570423088,0.0
2,2558,1,0.00039093041438623924,0.04351238759914951,0.0025416438570423088,0.15381006796174895
1,2558,0,0.0,0.027723734166491643,0.0025416438570423088,0.0
