top_percent,users,buyers,purchase_rate,baseline_purchase_rate,lift_vs_baseline
Top 1%,255,16,0.06274509803921569,0.0025416438570423088,24.68681749622926
Top 2%,511,23,0.04500978473581213,0.0025416438570423088,17.708926689748605
Top 5%,1278,32,0.025039123630672927,0.0025416438570423088,9.851546888166606
Top 10%,2557,45,0.01759874853343762,0.0025416438570423088,6.924159922986672
Top 20%,5114,48,0.009385999217833398,0.0025416438570423088,3.6928852922595583
