threshold,precision,recall,f1,predicted_positive_rate
0.05,0.0031334149326805384,0.9846153846153847,0.006246949731576378,0.7986627043090639
0.1,0.00481864377080778,0.8461538461538461,0.009582716264482968,0.4463126612966294
0.15000000000000002,0.0069767441860465115,0.7846153846153846,0.01383050847457627,0.28583717838429656
0.2,0.00914179104477612,0.7538461538461538,0.01806451612903226,0.2095878626730273
0.25,0.011465603190428714,0.7076923076923077,0.02256561196958548,0.15687807929928835
0.30000000000000004,0.014754098360655738,0.6923076923076923,0.028892455858747994,0.11926175021506218
0.35000000000000003,0.01903114186851211,0.676923076923077,0.0370214556163231,0.09040431688433566
0.4,0.021094640820980615,0.5692307692307692,0.04068169323804288,0.06858528192695706
0.45,0.02446256486286138,0.5076923076923077,0.04667609618104668,0.05274888558692422
0.5,0.030753968253968252,0.47692307692307695,0.05778191985088537,0.039415030890748416
0.55,0.033287101248266296,0.36923076923076925,0.061068702290076333,0.02819269570657699
0.6000000000000001,0.04627766599597585,0.35384615384615387,0.08185053380782918,0.019433799953077344
0.65,0.04878048780487805,0.24615384615384617,0.08142493638676845,0.012825525924767342
0.7000000000000001,0.04975124378109453,0.15384615384615385,0.07518796992481203,0.007859544850238523
0.75,0.0707070707070707,0.1076923076923077,0.08536585365853659,0.0038711191053413625
0.8,0.13793103448275862,0.06153846153846154,0.0851063829787234,0.0011339641823727223
0.8500000000000001,0.0,0.0,0.0,0.00011730663955579886
0.9,0.0,0.0,0.0,0.0
